place_name,address,latitude,longitude,category
사계,경남 김해시 김해대로2315번길 26-7,35.228626853992964,128.87974305177514,카페
사계해변,,33.2286582703756,126.3085978558,관광명소
사라봉공원,제주특별자치도 제주시 사라봉동길 74,33.5172842470245,126.545546015396,문화시설
사려니숲,,33.39192927184,126.65526799391,관광명소
사려니숲길,,33.422032834994496,126.62649730394567,관광명소
산방산,,34.86155288490255,128.53922269751203,관광명소
비자림로삼나무숲,,33.4459456365611,126.759605157552,관광명소
상가리야자숲,,33.4392078372321,126.35827996412,관광명소
올레길 8코스(월평-대평 올레),,33.24379232382301,126.41652004347895,관광명소
시흥갯골생태공원,경기 시흥시 동서로 287,37.3906904238162,126.780983949421,문화시설
올레길 7코스(서귀포-월평 올레),,33.23751957595788,126.51586040620134,관광명소
예래동새마을금고 본점,제주특별자치도 서귀포시 열리로 80,33.24703117031171,126.39025218393512,은행
아줄레주,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59,33.366831430170805,126.83929446652259,카페
서문시장,대구 중구 큰장로26길 45,35.868908632375664,128.58077341965037,시장
함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5430615661113,126.669238934013,관광명소
천지연폭포,,33.24721231608811,126.55452234287986,관광명소
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.4239380655993,126.930609241011,기타
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,33.4351030669935,126.923472849946,관광명소
성산일출봉,,33.4591349705437,126.940537521366,관광명소
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5574388587079,126.759313988844,관광명소
제주성읍마을,제주특별자치도 서귀포시 표선면 성읍정의현로 30,33.384959730607484,126.8014989334944,관광명소
세기알해변,,33.5578993192467,126.755503791408,관광명소
세기해변,,NA,NA,기타
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5251436596119,126.86025618946,관광명소
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5251436596119,126.86025618946,관광명소
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5251436596119,126.86025618946,관광명소
임한리 솔밭,,36.44771840727061,127.80485504328992,관광명소
울진금강소나무숲길 안내센터,경북 울진군 금강송면 대광천길 82-1,37.02144566014735,129.21703031389382,관광명소
소정방폭포,,33.2452264129726,126.577634537637,관광명소
소천지,,33.239569125787924,126.59208865472186,기타
제주동화마을,제주특별자치도 제주시 구좌읍 비자림로 1191,33.43543497779248,126.73204032152246,문화시설
송악산,,33.19908293934712,126.28979142753593,관광명소
수목원길야시장,,33.470142289582924,126.48788617723713,시장
수월봉,,33.29476974463891,126.16310858641053,관광명소
족욕카페쉬멍,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.3838914084591,126.842422797493,카페
스톤드립디카페,,NA,NA,기타
시골마을,광주 남구 봉선중앙로123번길 12,35.13206339480484,126.90925735366481,음식점
신산공원,,33.507019558116845,126.53316051306025,문화시설
분수천,,37.7714522938833,126.849292382389,기타
카페신상,제주특별자치도 제주시 테우해안로 144,33.4972766955024,126.449225292361,카페
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,33.4351030669935,126.923472849946,관광명소
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,33.4351030669935,126.923472849946,관광명소
신촌포구,,33.537924068294,126.618381433826,항구
실내얼음조각광장,,38.10590660276486,127.70299557356579,기타
무릉곶 자왈아름다운숲길,,33.2805883632406,126.251442872333,관광명소
아이바카페,,NA,NA,기타
안덕계곡,,33.2572021694392,126.35258255771,관광명소
알작지해변,,33.495927122987865,126.43979648686667,관광명소
올레길 16코스(고내-광령 올레),,33.468747935288256,126.38942484621417,관광명소
올레길 16코스(고내-광령 올레),,33.468747935288256,126.38942484621417,관광명소
새빌,제주특별자치도 제주시 애월읍 평화로 1529,33.36431114555293,126.36297023760353,카페
명동야시장,,37.5617076233866,126.985829509998,시장
전쟁기념관,서울 용산구 이태원로 29,37.53706844515933,126.9770880207577,문화시설
상가리야자숲,,33.4392078372321,126.35827996412,관광명소
국립중앙박물관,서울 용산구 서빙고로 137,37.523846812103436,126.98020301886912,문화시설
엉또폭포,,33.2685321560634,126.4999654844,관광명소
엉알해안,,33.2994209234776,126.167515521661,관광명소
한라수목원,제주특별자치도 제주시 수목원길 72,33.4697839260314,126.493266082832,관광명소
수목원길야시장,,33.470142289582924,126.48788617723713,시장
열린송현녹지광장,,37.5765680782914,126.981715077368,기타
예래사자마을,,NA,NA,문화시설
대왕수천예래생태공원,,33.24615729847313,126.39631008223913,문화시설
예래생태마을,,33.249345130274,126.392914468538,문화시설
새별오름,,33.366277591139294,126.3577306657398,관광명소
올레길 17코스(광령-제주원도심 올레),,33.51976662322369,126.49355499979052,관광명소
서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 18,33.25015006260236,126.56323157639459,시장
알작지해변,,33.495927122987865,126.43979648686667,관광명소
용담주유소,제주특별자치도 제주시 용담로 136,33.5090954346179,126.515423313399,"주유소,충전소"
용머리해안,,33.2316567556941,126.314736627312,관광명소
용수포구,,33.3233057022871,126.166403555351,항구
우도,,33.5044199749505,126.955582257582,관광명소
우리동네카페,충남 예산군 광시면 예당로 165-12,36.5494347503499,126.774721799095,카페
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,33.3001768930001,126.581329667008,관광명소
월령포구,,33.3785697717766,126.216272237628,항구
월정리해수욕장,,33.556469394054,126.795805057888,관광명소
월정리해수욕장,,33.556469394054,126.795805057888,관광명소
월평꽃시장,,33.4631737243423,126.570724513859,시장
월평포구,,33.2341860417803,126.463292619695,항구
위카페,제주특별자치도 서귀포시 대정읍 형제해안로 258,33.2116452683815,126.291859823154,카페
무건리이끼폭포,,37.2596865359156,129.109267624861,관광명소
이도,서울 강남구 논현로75길 7,37.4963958733362,127.038263164548,음식점
오아시스80,제주특별자치도 제주시 애월읍 애월로1길 26-7,33.4630013236535,126.309714201403,카페
이스틀리,제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1,33.4560751625839,126.908400030386,카페
이호테우해수욕장,,33.4973768007144,126.452690819027,관광명소
이호테우해수욕장,,33.4973768007144,126.452690819027,관광명소
홍제천인공폭포,,37.580786747178536,126.93755129533662,관광명소
능동자갈마당,,37.2705821438608,126.101305828526,관광명소
차귀도포구,제주특별자치도 제주시 한경면 노을해안로 1161,33.3093132718988,126.165372766829,항구
포토갤러리자연사랑미술관,제주특별자치도 서귀포시 표선면 가시로613번길 46,33.3554298535058,126.771612285421,문화시설
휴애리자연생활공원,제주특별자치도 서귀포시 남원읍 신례동로 256,33.309410458656,126.635409752107,문화시설
영양군생태공원사업소 캠핑장,경북 영양군 수비면 반딧불이로 227,36.83770885161822,129.27123130019538,숙박
작은포구나무골,,34.458895076471,127.516281756745,관광명소
코엑스,서울 강남구 영동대로 513,37.51266138067201,127.05882784390123,문화시설
광장시장,서울 종로구 창경궁로 88,37.570033672535104,126.9989416227693,시장
정방폭포,,33.24490888344185,126.57152630834372,관광명소
